table_name,column_name,foreign_table_name,foreign_column_name,constraint_name
seasons,show_id,shows,id,seasons_show_id_fkey
episodes,season_id,seasons,id,episodes_season_id_fkey
user_shows,user_id,users,id,user_shows_user_id_fkey
user_shows,show_id,shows,id,user_shows_show_id_fkey
user_shows,last_episode_watched_id,episodes,id,user_shows_last_episode_watched_id_fkey
user_episode_progress,user_id,users,id,user_episode_progress_user_id_fkey
user_episode_progress,episode_id,episodes,id,user_episode_progress_episode_id_fkey
user_season_ratings,user_id,users,id,user_season_ratings_user_id_fkey
user_season_ratings,season_id,seasons,id,user_season_ratings_season_id_fkey
show_availability,show_id,shows,id,show_availability_show_id_fkey
show_availability,service_id,streaming_services,id,show_availability_service_id_fkey
user_shows,selected_service_id,streaming_services,id,user_shows_selected_service_id_fkey
user_streaming_subscriptions,user_id,users,id,user_streaming_subscriptions_user_id_fkey
user_streaming_subscriptions,service_id,streaming_services,id,user_streaming_subscriptions_service_id_fkey
user_episode_progress,show_id,shows,id,user_episode_progress_show_id_fkey
